data_hora,medicamento,localizacao,farmacia,titulo,preco,preco_numero,categoria_preco,link,relevante,preco_maximo,alerta
2026-06-08 10:28:20,ibuprofeno,cidade nova manaus,drogasil,ibuprofeno 100mg/ml cimed suspensão oral sabor tutti-frutti 20ml,"R$ 9,99",9.99,baixo,https://www.drogasil.com.br/ibuprofeno-100-mg-ml-susp-oral-20ml.html?origin=search,1,,
2026-06-08 10:28:20,ibuprofeno,cidade nova manaus,drogasil,ibuprofeno,Preço não encontrado,,indefinido,https://www.drogasil.com.br/ibuprofeno-100-mg-ml-susp-oral-20ml.html?origin=search,0,,
2026-06-08 10:28:20,ibuprofeno,cidade nova manaus,drogasil,ibuprofeno 100mg/ml suspensão oral sabor frutas 20ml medley genérico,"R$ 9,92",9.92,baixo,https://www.drogasil.com.br/ibuprofeno-gotas-100mg-medley-genericos-20ml.html?origin=search,1,,
2026-06-08 10:29:04,ibuprofeno,alvorada manaus,drogasil,advil ibuprofeno 400mg 12 cápsulas,"R$ 24,11",24.11,medio,https://www.drogasil.com.br/advil-400mg-6-capsulas-984339.html?origin=search,0,,
2026-06-08 10:29:04,ibuprofeno,alvorada manaus,drogasil,advil 12h ibuprofeno 600mg 6 comprimidos,"R$ 22,89",22.89,medio,https://www.drogasil.com.br/advil-12-horas-600mg-6-comprimidos-revestidos-de-liberacao-prolongada.html?origin=search,0,,
2026-06-08 10:29:04,ibuprofeno,alvorada manaus,drogasil,advil ibuprofeno 400mg 20 cápsulas,"R$ 51,91",51.91,alto,https://www.drogasil.com.br/advil-extra-alivio-400mg-frasco-com-20-capsulas-gelatinosas.html?origin=search,0,,
2026-06-08 10:29:04,ibuprofeno,alvorada manaus,drogasil,buscofem ibuprofeno 400mg 20 cápsulas,"R$ 42,99",42.99,medio,https://www.drogasil.com.br/buscofem-400mg-com-20-capsulas-gel-mole.html?origin=search,0,,
2026-06-08 10:29:04,ibuprofeno,alvorada manaus,drogasil,ibuprofeno 600mg 20 comprimidos farmaco prati genérico,"R$ 14,09",14.09,baixo,https://www.drogasil.com.br/ibuprofeno-600mg-farmaco-generico-com-20-comprimidos-revestidos.html?origin=search,1,,
2026-06-08 10:29:04,ibuprofeno,alvorada manaus,drogasil,ibuprofeno 400mg 10 cápsulas medley genérico,"R$ 9,99",9.99,baixo,https://www.drogasil.com.br/ibuprofeno-400mg-10-capsulas-liquidas.html?origin=search,1,,
2026-06-08 10:29:04,ibuprofeno,alvorada manaus,drogasil,ibuprofeno,Preço não encontrado,,indefinido,https://www.drogasil.com.br/ibuprofeno-400mg-10-capsulas-liquidas.html?origin=search,0,,
2026-06-08 10:29:04,ibuprofeno,alvorada manaus,drogasil,ibuprofeno 100mg/ml cimed suspensão oral sabor tutti-frutti 20ml,"R$ 9,99",9.99,baixo,https://www.drogasil.com.br/ibuprofeno-100-mg-ml-susp-oral-20ml.html?origin=search,1,,
2026-06-08 10:29:04,ibuprofeno,alvorada manaus,drogasil,ibuprofeno,Preço não encontrado,,indefinido,https://www.drogasil.com.br/ibuprofeno-100-mg-ml-susp-oral-20ml.html?origin=search,0,,
2026-06-08 10:29:04,ibuprofeno,alvorada manaus,drogasil,ibuprofeno 100mg/ml suspensão oral sabor frutas 20ml medley genérico,"R$ 9,92",9.92,baixo,https://www.drogasil.com.br/ibuprofeno-gotas-100mg-medley-genericos-20ml.html?origin=search,1,,
2026-06-08 10:29:38,ibuprofeno,flores manaus,drogasil,advil ibuprofeno 400mg 12 cápsulas,"R$ 24,11",24.11,medio,https://www.drogasil.com.br/advil-400mg-6-capsulas-984339.html?origin=search,0,,
2026-06-08 10:29:38,ibuprofeno,flores manaus,drogasil,advil 12h ibuprofeno 600mg 6 comprimidos,"R$ 22,89",22.89,medio,https://www.drogasil.com.br/advil-12-horas-600mg-6-comprimidos-revestidos-de-liberacao-prolongada.html?origin=search,0,,
2026-06-08 10:29:38,ibuprofeno,flores manaus,drogasil,advil ibuprofeno 400mg 20 cápsulas,"R$ 51,91",51.91,alto,https://www.drogasil.com.br/advil-extra-alivio-400mg-frasco-com-20-capsulas-gelatinosas.html?origin=search,0,,
2026-06-08 10:29:38,ibuprofeno,flores manaus,drogasil,buscofem ibuprofeno 400mg 20 cápsulas,"R$ 42,99",42.99,medio,https://www.drogasil.com.br/buscofem-400mg-com-20-capsulas-gel-mole.html?origin=search,0,,
